Participant Name,Twitter,Birthday Message
elala,@elalalart,"Hello Altare! Wishing you a very very happy birthday! I really love listening to your streams as I work, since it helps me a lot to concentrate! Wishing you the best always! Thank you for being the best leader we can have!!"
Eliza123z,@Eliza123z,Happy Birthday Leader!!!! Ngl this collab with Axel actually made me into a fullblown Tempus Fan!! Thank you for all your hard work and I hope you'll have a fantastic year!!! 
Etherling,,Happy Birthday to the best blue person in Tempus!
FelixWuff,@FelixWuff93,"Heya Leader! For your birthday i wish you nothing more then health, love and good food with the bois! Thank you for your dedication and the goofyness, making us all feel welcome and loved! "
Fluor (FluorescenceFuture),@FluorArt,"Happy birthday to the one and only demon god king Leader of the Tempus Guild, Regis Altare! When Tempus debuted, I was in a struggle era with my art, feeling like it'd become stale and nobody wanted to see it. Then I wake up one morning and I find out you talked about the comic I made, the fairy tale about the demon god king, on stream and how you wanted to voice act it, and that just shot all the insecurities down dead. You and Tempus gave me my art confidence back. Happy birthday Leader, and keep on rockin'!!"
Frenz,@Noimagining,"Happy Birthday Altare, I wish you the best for many years to come."
Gabrielle,@gabrielle_desu,Happy birthday Leader-kun!!! Hope you have a happy adventure with your boys.
Ghost,@GhostTheLurker1,"Happy Birthday, Leader!!!! I really have a lot to say but to try and keep it simple, thank you for always putting in the effort to talk and interact with us, and thank you for all the times you motivated us to keep going when we were at our lowest. You never fail to show us why you are the greatest leader of Tempus, and I'm proud to have you as my Oshi and my Comfort Streamer. We love you so much and I hope this project shows how much you mean to us. < 3"
Gredell Elle,@Gredell_Elle,"Happy Birthday Leader! Thank you for being in TEMPUS Holostars and for always working so hard to entertain our days. There is no better Guild Leader than you and surely your guildmates agree on that too. Congrats Leader, Cheers to the future ahead!"
Hanharu,@hanhrn_,"Happy Birthday Leader! I love tune in into your stream, especially the morning stream (night in my time). It accompany me through my insomnia wwww. I hope you have a wonderful birthday and always showered by love!"
HappyVainGlory,@hoopa_v,"Happy Birthday, Altare! Been busy with finishing law school, so haven't had the chance to watch much, but always enjoy your cozy streams. Hope you have a good one, and cheers to the future!"
Harmonia,@Shiningseastars,Happy Birthday Leader! I hope you continue to have a great year and many more to come!
Haze,@hazeyhazzze,Happy Happy Birthday Leader!! We're so thankful to have met you. Cheers to more adventures as we climb to the top of the world--Our journey has just begun!!
Heterodox,@HETERODOXXX_X,"Happy birthday, Altare! We know how hard you’ve worked so far, so I hope you have a great day today. I keep cheering you and the boys this year. You are good leader. We love you! "
honnyuu,@hou37707274,"Happy Birthday Leader!  I really enjoy your streams and it always makes me happy when I'm working. Work hard, but rest well too! Hope you can have fun in the new year and enjoy it!"
InkXsodA,@InkXsodA,HBD to our beloved leader/DGK ! Hope you have the best birthday and great rest of the year!
irisnoira,@chococattail,Thank you for being in Holostars and everything you have done for us. You are a wonderful person who brings happiness to many people. Hope you have a fantastic birthday!
Jackorein,@jackorein,"Happy birthday Leader! So glad we could celebrate it with you, and imagining this cards was a lot of fun, I hope you like them and all the other amazing cards everyone created."
Jaesung,@jsng368,Saengil chukhahaeyo Leader-nim!! Wishing you all the best on your birthday and every day going forward! Thank you for doing so much and for all of your hard work. Your streams are always fun to tune into and we’re grateful for your efforts with providing us a positive and comfortable experience.
jam,,Happy birthday leader!! We'll always be supporting you
Jogay,@a_aisaki_,"Happy Birthday Altare! We love you sm!! Watching your streams always made my day better. You're the best leader Tempus guild can ever have and honestly, thank you so so much! I'm glad I've met you and the boys! You deserve the world! Wishing you a nice year and the year after!!"
jojostory,@jojostoryart,"A big happy birthday to you, leader!"
JUICE MAN,@JUICCBOX,"Happy birthday Leader! I never thought I would be in a cult, but I’m glad it’s this one. Thank you for always brightening our days, pushing the status quo, and for being my broshi! Have a good one, man."
K,@k4bunz,"Happy Birthday Altare! I'm usually a silent lurker, but your streams always bring me joy, even in the roughest times. Keep on keeping on!"
KageKitsuneofLight,@kagegotmagged,"Happy Birthday Leader! I hope that this is a wonderful birthday for you!! You give out so much love, its only fair that we get to return the favor, right? Hopefully, this is the first Altare birthday project in a long series of projects!!"
Kaibo,@kaibo_san,Have a happy birthday Leader! Thank you so much for being such a great leader and for providing us with the most comfortable and fun streams. I respect your hard work so much and I hope this year will be a wonderful year full of growth and happiness for you!
Kalhuhu,@beatingtune,"Happy Birthday Tempus Leader, Altare!! Really amazed with all the contributions, work and time you and the boys have put into HoloTempus! Keep striving and we will be behind you all the way! Remember to take rest though XD~~ All the best Leader!!"
Kardboard,@carrrdboard,"Happy Birthday, Altare! Thanks for doing what you do, and here's to many more!"
kari,@smhkari,"Happy birthday Leader!! Thank you for being in Holostars and the leader of Tempus, looking forward for what you can prepare for the next years!"
Katra,@katradraws,Hello Leader!!! Happy Birthday! I hope you have fun today and I hope you enjoy the gift! This is just a reminder that you were the first death on Ultimate Weremag haha. So thankful to you and the bois for making this half a year very enjoyable. Stay shiny!
kcedar ,@kcedar118,"Happy birthday leader!! Thanks for working hard and creating bridges and opportunities for others! Please, continue being a seiso idol, in Tempus all hope is only for you...."
Kiing,@OusamaXIII,"Happy Birthday Leader! Thank you so much for being Tempus's Leader, and for everything you've done! You're an incredible guy, y'know? Here's too years to come!"
Kinokoneko (Kinoko),@kinokoneko1027,"Happy Birthday Altare! Thank you for the introduction, a gateway to introduce me to the rest of HoloStars, I really enjoy your streams and I can't wait to see what you have in store for all of us in the near future and I hope you would achieve your goals!"
kirisviel,@kirisviel,"To our Guild Leader and Demon Lord, a most happy birthday! Thank you for the many Minecraft comfy(?) times, even if I can only watch them as VODs. Thank you for looking after this motley crew."
kkinos,@kkinosvt,"Happy day of arrival to this world, leader! I'm very thankful that you exist and bless us everyday with your amazing streams. I wish you have the best of days and are surrounded by the people you cherish. Let's hope our adventure continues for many years to come!"
konoha_kairi,@konoha_kairi,"Happy Birthday to our favorite totally-not-a-psychopath hero leader! It never fails to amaze me how easily you can juggle between cursed ingenuity, silly puns, and incredibly based life advice LOL! You inspire me to be a better, kinder person every day and thank you for always being a positive impact in Holostars and in our lives. Let’s aim for the stars together this year too…!"
kou_doodlez,@kou_doodlez,"You’ve come so far. Time to celebrate! Rest easy, have something sweet like: cake with mint ice cream! (if you're into that) happy birthday!"
Lambdadelta,@slambdadelta,"Heyas, Leader! Thank you so much for being here and adding some extra brightness to our days! I'm so thankful that you joined Holostars and I always admired your hard work and perseverance! I'll continue to support you on your journey and watch over your growth! Please eat some good food and stay healthy, and I hope this year will treat you kindly! Happy birthday!"
Lampu Kuroro,,Before I knew it I've already got brainwashed into a cult and I couldn't be happier! Thank you for all the fun streams and thank you for being so inspiring leader!
lancheri,@kavibora_ ,"Happy birthday Leader! Thank you for your fun and chill streams, and for being a great leader as always."
LASI,@L_A_S_I,"Thank you for being holostars, your streams are always enjoyable and relaxing.
Happy birthday to the world's best leader!
Wishing you happiness always!"
Lee,@mycentos,"Happy Birthday Leader. To a  year of gamer rage and devilish tricks, and to many more to come!"
Lime 52,,"I could use this space for a wholesome comment. Altarenatively, I could write out some aggregis puns. Happy birthday leader!"
loop,@loop_japduck,"Happy Birthday, Altare! I want to say thank you for giving me a lot of happiness in my life. As much as you gave, I wish you always be happy. Saranghae!"
Lynnear,@_lynnear,Happy Birthday Altare! Thank you for being an inspiring Hero for Altventure and the great Demonlord for Cultare. Wish you for the best throughout the year and take all the world in your govern ~
Matcha Beaver,@Matcha_beaver,"Happy birthday, Altare-kun! I hope you like our gift!"
mayari marionette,@sicilliana_,"Happy birthday to our beloved (cult) Leader! You promised us good, comfy times and you definitely delivered (plus or minus a few screams and cult shenanigans). I hope that, through this birthday project, we managed to reciprocate some of the love and happiness you've given all of us. Here's to more birthdays with us and the best guildmates anyone could ask for!"
Melyssa,@badutgemulay,"happy birthday, leader! Ever since you debuted in holostars, i started to gain more interest in vtubers. Thank you for always doing your best everyday, and i wish you lots of happiness and success in the future, take care of yourself ok, sehat selalu!"
Mew,@chlckenkaraage,HAPPY BIRTHDAY LEADER!!!! Thank you so much for reigniting my interest in vtubers and giving me the motivation to draw again!!! I really appreciate your streams and all the hard work you do!! I wish you a happy celebration and more good luck this year!!!
Mi-chan,@michanrotated,"Super happy birthday to the best leader of them all!!!!! Keep being awesome, sweet, and so so handsome! Love you lots!"
Michael_Yomiko,@Michael_Yomiki,Happy Birthday Leader! Thank you for all the smile and laughter you always given. Can't wait to go on another year adventure with you.
miffens,@miffenss,"Happy Birth-tare! It's hard for me to make friends and find energy for projects, so I'm super grateful to you and all the cracked artists and devs I've met through you."
miiversian,@miiversian,"Happy birthday Altare! Thank you for everything you do! Your Cooking Simulator VR stream was my first TEMPUS stream. I distinctly remember thinking ""there is something wrong with him"" in the most endearing way possible. (LMAO) The pure comfiness with a side of chuuni in every stream makes my days a bit brighter. Your words and calming voice inspire me to be a better person each day. I hope you have a happy future ahead of you, leader!"
Mikan,@fh_pocket,"Happy Birthday Altare! Your presence is always calming and inspiring me. Thank you for being our best guild & cult leader.
 Wishing you a happiest day and a great year ahead!"
Mil_0709,@mil_0709,happy birthday mr regis altare member of holostars EN and leader of the tempus guild!!!! we hope you liked all the cards heree~
Milk,@CY220726,"Happy Birthday, Leader! I always enjoy your streams and appreciate your efforts. Thank you for everything you do. I hope you have a happy day!"
Miloot,@moon_dial_,"Happy birthday to our Blue Isekai Hero, Regis, Ragus, Altor (Tortare, according to Axel LOL). How many names you may have, one thing for sure is that we, the Cultare/Altventurers, love our dear leader, Regis Altare. Thank you for entertaining us! May you have a fun celebration on your special day."
Mini,@ministarfruit,"Happy birthday Altare, may you win big in everything you do! We’ll be cheering for you!"
minipuffins,@minipuffins,"Happy Birthday to our leader, Altare. Thank you for always being you. 
I wish that you will always find happiness on the path you choose and never lose your light, no matter what journey awaits you. Good luck!"
Minjastars,@minjastars,"Leader-nim, saengil chukhahaeyo! Hope you another wonderful year and many more fun times!"
Mira,@omomo460,Happy birthday Altare! Your hard work is always appreciated and it has been wonderful seeing you grow into your own!
misseschibi (rota),@misseschibi,"Your streams bring a smile to my face. From old friends and new, wish we could bless you a thousand fold. Happy birthday Leader! Enjoy the day Altare~"
mmmonstruo,@mmmonstruo,"Happy birthday, Altare! Wishing you the best in this special day as well as for the rest of the year. Thank you for all the hard work of making a couple of hours of each day a very entertaining time."
mokochuls,@mokochuls,"Happy Birthday Leader!!! Wishing you a year full of fun and only the very best for your creative pursuits, the cultares will be rooting for you every step of the way!"
moonestone,@_moonestone,"We really love your music Leader, your kazoo especially! Happy birthday!!!"
Mordi,@kingcheckmate_,"Happy birthday, Altare! Thank you for all the smiles and joy you bring and for reminding me to always try the best I can. Already looking forward to spending another year together."
Mowo ,@ieka95,"Happy birthday Leader! I'm usually a silent watcher on your stream but I really enjoyed your content a lot! Thank you for your hard work and inspiration to us, and hoping that you can achieve your dreams and reach to the stars with the other boys!"
moya,@moyyyya ,"Happy birthday, leader!"
nes,@herb1vosa,"Happiest birthday leader! These past months with you has been amazing and I'm glad to be a part of it, whether it's just commenting in chat as you stream or drawing you and the boys! Being in this community has been some of the most fun I've had in a while, and I have you and Tempus to thank for that. Appreciate all that you do, and have a wonderful birthday! Wishing only the best for you as always!"
newmoniks,@newmoniks,Happy Birthday Leader! Thanks for leading the way with the Adventurer's Guild TEMPUS! Hope to see many more streams and am happy to be on this new exciting journey with you and the Cultare!
Nui ,@nuichuu,"Happy Birthday Mr. Leader! Thank you for being here with us all this time, and making us smile. Take care of yourself, I wish for your eternal happiness! I hope you get to spend many other birthdays with us."
nyanbeans,@nyanbeans ,Happy birthday to our shining star! Thank you for sharing your wonderful presence with us and lighting up our lives as the brightest star in the sky. May all your wishes and dreams come true in the year ahead :3 !
Nyu,@nyucean,Happy Bday Altare! Thank you so much for being a cool leader to the Tempus Guild! I'm sending you my best wishes and I hope you stay happy!
Nyx (CandorArchives),@CandorArchives,"Happy birthday to our one and only guild-leader/demon lord! Thank you for being in Holostars, and I hope you have a fantastic birthday!"
o5v3,@o5v35,"Happy Birthday Leader! When I saw the debut announcement, I never would've thought that just days later you and the boys would be some of my favorite vtubers ever. As a fellow Pokemon fan I hope you like this project! (Coding a gacha system is harder than it looks, I hope it turned out ok :P) (Also yes, rate up is a lie). The journey's just beginning and there's still many boats to sail together! ^_^"
Orion Valiant,@OrionValiant,"Happy birthday Leader! Thanks for being there and taking good care of the boys. I love your chill voice, your comfy streams, your silly antics, and your strong spirit equally. There's nobody like you! May this year be full of only the best things for you. Cheers!!"
PaakType,@PaakType,"Happy birthday, Altare! It's been all kinds of fun spending time with you since your debut, whether enjoying your chill chats, cracked gaming skills, or fantastic musical gifts. I'm proud to be a part of Cultare, and I'm looking forward to whatever the future brings for you!"
paopandan,@paopandan,"Happy birthday, leader! Hoping you have a wonderful year made up of lovely memories with the boys and your Altventurers!"
Phe,@Phe_Mist,"Happy birthday, Altare! Thank you for existing and for being a member of Holostars. These past six months have been an incredible change of pace in my life, and I’m so proud to call you my kamioshi. Wishing for your continued success as well as immense prosperity, endless happiness, and eternal excellent luck for you. I’ll continue to support you in any way that I can! Hope you enjoy the rest of your birthday and that you eat something super tasty to celebrate! Keep being you, valiant leader! Love you a ton!"
picolas,@juzalovebot,happy happy birthday leader! thank you for bringing smiles and happiness to us altventurers. you are an amazing and talented person and i am so excited to see what the future has in store for you and tempus as a whole. have a wonderful birthday altare!
Potato,@Kate_Yuriko,"Happy birthday, our amazing leader! Ever since Tempus was announced, I have been so excited to see you. You never failed to make me smile with your streams whenever I stop by, so it's my turn to try and make you smile with the only skill I have lol. Again, happy birthdayyyyyy!"
Qeeko,@QueenQeeko,"Happy birthday Altare! Congratulations on your level up! I hope you get more points to put into CHA and INT, but most of all thank you for being an amazing member of Holostars and a most wonderful presence in our lives!"
Remien,@Reremimy ,"Happy belated birthday Leader! Thank you so much for being a part of Holostars and for being here. Your streams has become a part of my daily routine, they're comforting and keeps me calm around stressful time of my life. Sincerely, A proud Cultare."
Roro,,"Happy happy birthday, Leader! Thank you for existing and finding your way to Holostars. I hope that being in Holostars brings you happiness, just like the way you bring happiness to us. Always take care leader! I'm wishing you all the best things in life."
Rosamond,@rachelll_qaq,"Happy Birthday! Thank you for all your hard work, we will always be with you and create more memorable moments together!"
Rurune,,"Happy birthday Altare! It's been a while since I've regularly followed a streamer, but your streams have been a great addition to my daily routine. Here's to many more years of fun (and cringe) !]"
Sachan,@yhyukki,"Selamat Hari Tua, Altare! (Congratulations on becoming older, Altare!) Honestly, I'm always surprised at how you lead Tempus! I hope you're blessed with all the rare Pokemon cards, especially Pikachu! Have a great birthday!!"
saki ,@___sakineko,Happy birthday leader!! thank you for the comfyness in the guild cultventurers are always here for u (dont forget to share cake with regis-san)
Sanna C.,@madamemoiturtle,Happy Birthday Leader~!  Hope you and everyone else have a spectacularly good year!  Look forward to the New Year and what new adventures Tempus has in store.  Let's keep aiming for the Top of the World every year!
sashimei,@kodzuroku,"happy birthday, altare. thank you for giving me a million reasons to look forward to another day. you are such a blessing! can’t wait to see you grow and achieve your dreams. we are always here for you, always remember that. enjoy your day and live life to the fullest! cheers!"
Sc4peGhost,@Sc4peGhost,"HAPPY REGIS ALTARE DAY!!!!!, Thank you for very very hard work!! Let's eat some good foods for celebration!! and Thank you again for pep talk in stream and give me some inspiration!! I just had no passion for draw something for a long time. HAVE A GOOD YEAR LEADER!!!"
sefirin,,"Happy Birthday Altare! You're an amazing and funny person, and your streams are very comfy to me :) Hope you have a wonderful birthday with the boys and eat lots of good food!!"
Semiluminary,@semiluminary,"Happy Birthday, Altare! May your birthday be full of fun and good food, and your streams always be excellent!"
SenaVT,@SenaamaVT,Happy Birthday Altare!! Thank you for working so hard and bringing your all to Holostars! I can't wait to share another year with you
SenWarchief,@SenWarchief,"Happy Birthday, Altare! I seem to remember you getting in trouble with that crooked Judge Magni's kangaroo court a few months back so I made you a couple of… problem solvers shall we say. I know they’re bulky but hey, you’ve been keeping fit with those push-ups so I’m sure you’ll be fine! Maybe you can use these the next time you find yourself in a pickle or the next time you get called short eh? Best of luck in all your endeavors! "
Shad,@whaoanon,Happy birthday leader!!! Hope you have a great one and a great year forward!!
shanaq1muru (imuru),@shanaqba1muru,"Happy birthday to our most amazing and hardworking leader, the one and only Regis Altare!!! Thank you for being part of Holostars, here's some luck for the future!!"
Sheepy Rice,@SheepyRice,Happy Birthday Leader!! Thank you for your hard work and I hope you get to eat a lot of cake!!
Shell,@sh_III_ll,Happy Birthday to Dear Altare!
Shiitake,@Water_MizOri,"Altare! Happy Birthday! Thank you for being here in Holostars. We cannot thank you enough for everything you do for us and this community. We’ve found the shiniest stars, and one of them is you. Wishing you a lot of luck, health, success and happiness! Leader, Daisuki!"
ShiroDB,@ShiroDB_ ,"happy belated birthday to our leader, wishing for more wonderful year with you!"
Siân (BeesinArmour),@BeesinArmour,"Happy Birthday, Altare! Thank you for all your hard work and for sharing your time with us. I hope you're having a great day and I wish you many more amazing days to come!"
skycompass,@_skycompass,Happy Birthday Leader!!! It's been really fun watching you and listening to your soothing voice! I hope you continue to find happiness and success as a member of Holostars!!
Skylimit Art,@SkylimitA,"Happy birthday Altare! I’m really happy that we have you as leader of the Tempus guild! Your streams always bring so much joy to my day, and I love how much hard work you put into everything, how much you support and include others, your wonderful kindness, everything! I wish you receive as much happiness as you’ve given to us Altventurers and Cultares this year. I can’t wait to continue this adventure with you!"
Solis,@soIispan,"Happy birthday Altare! Thanks for always being there with a stream whenever I felt bad or nervous about something. I look forward to the years to come of Tempus, and I'm glad you're with us. Love you leader!"
Soraille,@1soraille2,Happiest birthday to the starriest boy in the galaxies and beyond!!! Thank you for bringing light and comfort to our days. We love you~!
Spica,@dollspica,Happy Birthday Altare! You have been a massive inspiration to me since your debut. Thank you for encouraging me to draw and pursue my hobbies again after many years. I will be always here supporting you and your dreams! Love ya!
Spur || lurkn_ssprdyllc,@lurkn_ssprdyllc,"HBD Regis Altare! The Holostar and Cult Leader of the TEMPUS Guild! Hopefully, by your next birthday, your hair will still be blue rather than gray. But if you become bald after all the stress caused by managing a guild of troublemakers seiso adventurers and doing your best to fend off records corruption (abayo VODs o7), don't worry,  we'll still watch your videos. We'd even make you a ton of wigs and hats, just say the word and we'll get started on them lmao. Treat yourself to a few leisurely days of relaxation if you can, leader! Otsu otsu!"
Squidman ,@Squidman_3,"Happy Birthday Altare!! I am so glad that you joined HoloPro and helped start the HoloStars EN branch. You have helped and inspired more than you could ever know the last few months and I am grateful to have a comfy streamer to watch whenever I want. We know you said that you like to celebrate your birthday in a low-key kinda fashion, but we wanted to do something special for someone who has done some incredible things for so many people in such a short time. Hoping your birthday is fantastic and you can enjoy it in the way you want. Just know that we are grateful that you are our Leader of the Tempus Guild."
Suppapong,@suppapongstudio,"Happy Birthday Altare! TEMPUS and the Tempura's are blessed to have you as our leader! Thank you for taking care of the boys and tempura community, leading us to a happier tomorrow. P.S. I can't wait to hear more of your singing soon!!!"
takoyoaki (Aki),@takoyoaki,"Happy Birthday, Leader! Thank you so much for being a part of HoloPro. I hope all your wishes and dreams come true!"
tamatanz,@tamatanz,"Happy Birthday, Leader!!! Thank you for all the fun streams and here's to more in the future!!"
Tear ,@soletear_,happy birthday :)
The Cooler Garfield,@garfieldfactory,"Have a wonderful birthday, Leader. Thank you for bringing your unapologetic goofiness to our lives, and thank you for supporting TEMPUS. I don't think anyone could ask for a better face to represent the guild, and I hope your evil reign is a long one."
Tibbary Zal,@LazyRabbitZ,"Hello Altare and happy birthday! You're the best guild leader I've ever known. And you guild mates are full of adorable and amazing people. I hope you have a wonderful year ahead of you. I'm excited for what you have in store for us. This is my little gift for you, good luck!!"
tootles,@tootlini,"Happy Birthday to our most ambitious, hard-working, entertaining, sometimes clumsy, always demonic, talented guild leader of Tempus, Regis Altare! Ever since debut, you and your streams have been the highlight of each and every day. Your laughter is infectious, and your puns are… 2/10 at best, but since it’s your special day, we’ll give them 11/10. But seriously, we can’t thank you enough for all you’ve done for us, and continue to do, to make us smile. Hope you enjoy this gift from the fans and have a super amazing birthday. We love you!"
tsu,@chnbni,"Happy birthday our dearest leader-san!!! You are truly the best leader anyone could ever hope for. Thank you for being you, and thank you for being here with us! c:"
Tsukiko Ichinose,@tamaseDruki,"Happy birthday Leader! O7 as a fellow introvert who also don't prefer to celebrate my birthday, I thank you for sharing your time with us cultare and altventures! Keep doing you cuz that's why you're our oshi! OTSUTARE! "
UNi (NINE_UNI),@NINE_UNI,"Happy Birthday Altare!! Thank you very much for always doing your best for us Altventurers, TEMPURAs, and the boys!!"
Valmeichi,@Valmeichi,"Happy Birthday Altare and Regis! You are the best Guild Leader,Demon God King anyone could have asked for. Heres to more Celebrations with the boys and Altventures!"
VetrFaegir,@VetrFaegir,"Hey Altare, I hope you're feeling alright. If not, that's okay. Maybe looking at this card will make you feel a little better (and Kobo too!)
PS: I really like Demon Slayer and this idea had been stuck in my head for a long time."
Vinhsenn,@vinhsenn,Happy Birthday to my favorite ABG vtuber frfr!
WeissNyctea,@WeissNyctea,"Happy Birthday! Thank you for all your hard work, you are amazing. You make me found the motivation to draw in digital, which I could not do for years! Wishing you have everything that you want!"
whalerounded,,"Hope you have an excellent birthday Altare; we tempura wanted to show you some love with these Pokemon cards and I fully enjoyed writing the lore for some of them! Thanks for being my daily dose of cringe and being such an accommodating leader for for the rest of the boys-- I couldn't imagine it any other way. Love your streams and your positive attitude bro, keep it up! "
wildjinko (agua),@wildjinko,"happy birthday leader! thanks for always being a comfy and safe place for us to enjoy our free time! let's aim higher this year, we'll be cheering on u so do rest easy, we've got ur back!!"
Wonder ,@Crescentdrifter,"Birthmas to Leader! Wishing you and the boys absolute best for the coming future! Just want to let you know about how much your contents had helped many of us to get through the hard times of days and nights. Especially for night since the stars in the cards reminded how they made myself calm after very stressful night shifts. And your streams like stars to me, so thank you so much Leader! Even though some of them were very cursed and confusing lol. Hope you have an epic and swell bday regardless!"
