Rarity Folder,Filename,Collector Number,Card Display Name,Card Level,Card HP,Card Element,Attack 1 Type,Attack 1 Name,Attack 1 Element Cost,Attack 1 Damage,Attack 1 Description,Attack 1 Extended Lore,Attack 2 Type,Attack 2 Name,Attack 2 Element Cost,Attack 2 Damage,Attack 2 Description,Attack 2 Extended Lore,Item Description,Item Extended Lore,Artist Credit,Writer Credit,Card Image Alt Text Description
Uncommon,Uncommon_Hanharu_IntoTheDaylight.jpg,007,Into the Daylight,Knight,200,AU,Hidden Ability,Promise Beyond Time II,,,"Can only be played if you have the card ‘Beyond the Dawn’ online; you may summon this card from your deck and add it to your hand. If both cards are online, their HP will become the sum of both cards’ current HP.","No matter what time of the day it is, no matter how busy they are, and no matter how far their physical distance from each other, STARS will always have each other.",Attack,A Tale of Betelgeuse,AU 2,50,<br>Attack your haters with the story of your success. Damage dealt multiplies by the sum of online cards that depict other STARS members.,"Like Betelgeuse, STARS are now in their brightest era. And becoming bigger means more attention, especially the negative kind. But STARS have been tempered by hate since its conception, and will get back at those haters by hitting them with the supernova of their success.",,,Hanharu,aprilmayjune,"Altare and Regina stand next to each other holding balloons with symbols 
to represent the TEMPUS HQ boys. Around them are 13 other balloons with symbols 
meant to represent their Holostars JP senpais. "
Common,Common_Semiluminary_Craftare.jpg,008,Craftare,Initiate,070,AU,Attack,Paper Cut,AU 1,015,"This gun saber might be made out of paper, but that doesn’t mean it can’t hurt your opponent. With precision and the correct amount of power, even a single thrust can be fatal. Deal 15 damage to the opponent.","World of Craft: where creatures are made of yarns and threads while nature is made of papers, patchworks, and flannels. Survival here means trying to unravel your opponents while making sure your own yarns and threads are intact. Craftare has survived for quite a long time and it was all thanks to the paper gun saber he had crafted. A well-aimed thrust and tug can unravel even the most complicated crochets.",,,,,,,,,Semiluminary,aprilmayjune,A crochet version of Altare is seen smiling while holding a gun saber made of paper. The background is a galaxy full of stars.
Common,Common_Melyssa_FigureSkate-tare.jpg,009,Figure Skate-tare,Initiate,250,AU,Attack,Spin Attack,AU 2,040,Deals double damage if opponent is weak to AU energy.,"He took a deep breath, picturing what he had to do, and off he sped! His heart thumped loudly in his ears, but Altare knew he could do it. He’d done it before standing still! Shaking off any doubt clinging to him, his limbs moved into position and his body began to turn. Quickly, he tucked both his arms to his chest, his foot gliding back in place next to its pair, and the world around him began to spin. His proud grin only grew broader when he spun himself to a stop and was still on his feet. ",Effect,Zamboni!,,,"Pick an item card in use and discard it, its effect ending immediately. ","Loud noises filled the rink and Altare ran to the railing to watch the zamboni wipe away the evidence of his successful training session from only moments before. A smile crossed his face as he thought, “Someday, I want one of those,” then he laughed and settled his chin on his hands to watch it go.",,,Melyssa,Brainy,A chibi Altare on an ice skating rink with a cheering crowd in the background. He is holding a bouquet of blue flowers being trailed by two Altventurer slimes. 
Common,Common_Suppapong_HotWaiter.jpg,010,Hot Waiter,Initiate,150,AU,Attack,Can I Help You?,AU 2,100,Attract the best customers and get the highest tips with your good looks. Take the reward for your effort and inflict a hundred damage points on your opponent.,,Effect,Looks Served.,"Food 1, UwU 2",,"Mirror, mirror on the wall, who is the hottest of them all? If your opponent is Regina, nullify her attacks/effects.",This effect lasts one turn.,,,Suppapong,kkinos,A gray waiter in a white dress shirt and black vest are holding a serving tray. The waiter is winking and is depicted in front of a pink background with bokeh.
Common,Common_Yuuna_LetterSnail.jpg,011,Letter Snail,Initiate,200,AU,Attack,Express Delivery,AU 2,120,"As a Letter Snail, Lagus’ job is to get deliveries to their destination no matter the danger. It’s tedious work, since snails are way slower than bees.<br><br>Send a whole sack of letters flying at your opponent, dealing 120 damage worth of papercuts.","When Lagus was just a boy, a mysterious Letter Snail named Vesper saved him from certain death by delivering him to the guild hall. He’s been searching for this stranger ever since, becoming a Letter Snail to follow his example.<br><br>But when he finds him, Vesper no longer remembers Lagus - and he’s calling himself Noir now, stealing people’s letters to bury in unmarked locations in the woods.<br><br>Now it’s up to Lagus to fight this old man’s amnesia, and make him remember who his oshi is!",Effect,Back-to-Back Sender,"AU 1, Friendship 1",,"If Lagus can’t get the job done, he can count on his “loyal” companion Magniche! Add 20 damage to your next attack.","Magniche is a great fighter, once he stops trying to run away. His pet, Syrio-Steak, is the best at blocking those escape attempts - because he’s pretty mad about being treated like a pet. <br><br>That’s not all Magniche has up his sleeves, though. Beneath those gloves is something ancillary to human…",,,Yuuna,Lime 52,"Chibi Altare in a coat and cap holding out a letter toward the audience. To his left is Magni in a coat with buns with an Axel creature on his head, Vesper looms over them
all in a coat and cap."
Common,Common_minjastars_MountainBunny.jpg,012,Mountain Bunny,Initiate,100,AU,Attack,Santokki,Music 1,030,"The sight of Altare hopping around while singing is too cute for anyone to handle. This attack deals an extra 20 damage to all non-UwU Element Talents.<br><br>Mountain bunny, bunny / Where are you going? / Hopping, hopping while running / Where are you going?","<i>""San-to-kki, to-kki-ya, eo-di-reul ga-neu-nya?""<br><br></i>""Altare?"" Vesper calls. ""What's that song you're singing?""<br><br>Altare flinches; he hadn't realized that he was singing out loud. ""Oh, it's uh, it's a song I remember from a long time ago.""<br><br>""Hm."" Vesper sits next to him. ""I've never heard that song before. Where in Elysium did you grow up?""<br><br>Altare couldn't tell him where he was really from, but... ""It's a small village. Really small.""<br><br>Vesper nods. ""It's a nice song. Can you sing the rest?""<br><br>""Sure.""",,,,,,,,,minjastars,mayari marionette,"Chibi Altare in a bunny onesie holds up two hands next to his face to mimic bunny ears, with slimes matching him side-by-side. They all are standing in front of mountains."
Common,Common_Bunko_TheAssistant.jpg,013,The Assistant,Knight,300,AU,Attack,Autopsy,"Horror 1, AU 1",100,"If you swap this card into play the turn after one of your other characters runs out of HP, this attack does double damage.","A fresh corpse ready to be studied means fresh strategies to better damage opponents. Better damage means corpses can be obtained faster.<br><br>This cycle might seem “scary” or “murderous” or “completely deranged what is wrong with you” to some, but it’s just the most efficient way to learn, we swear!",Attack,Medical Assistance,"Horror 1, AU 2",160,"Choose one of your non-active Characters, they heal 60 HP.","If one knows how a body might have died, that must mean they know how to prevent it too, right?<br><br>…Right?<br>",,,Bunko,AvaAasimar,"Chibi Altare is in doctors outfit holding a clipboard there is a bead of sweat on his 
face and speech bubbles with ""..."" and ""eh?"" next to him. In the bottom left corner 
there is a gray head."
Common,Common_elala_Trailblazetare.jpg,014,Trailblazetare,Initiate,150,AU,Effect,Hiker's Instinct,AU 2,,Knowledge gained from spending months out in the wild allows this Altare to sense danger.<br><br>This card dodges an attack made against it.,"Growing up watching Pear Frydges and shows like Nude and In Doom. This little guy has a top notch sense of the wilderness and all the dangers that can happen suddenly. Like, let’s say, there’s no fresh water, but you have a bottle and need to use the bathroom…",,,,,,,,,elala,Kiing,"Chibi Altare stands on a grassy cliff behind him there are more grassy mountains. 
He is holding a hiking stick, wearing a beanie, and his outfit layered with a puffer jacket."
Uncommon,Uncommon_Jaesung_AKnightErrant.jpg,015,A Knight Errant,Knight,180,AU,Attack,Last Chance. Leave Them Alone.,AU 1,050,"Altare stands his ground, ready to defend the people of this town. If this attack targets a Horror Element Talent, you may pay 1 extra Friendship Element to deal an additional 20 damage.","Altare grips his sword. ""Last chance. Leave them alone.""<br><br>The bandits chuckle and move forward, dismissing the lone knight.<br><br>Altare sighs and unsheathes his sword. He did try to resolve this peacefully, but some people just weren't the type to negotiate.",Effect,I'll Protect You!,"AU 1, Friendship 1",,"If a Talent you control would take damage, you may pay the cost to redirect the damage to this Talent.","""Hey, watch out!""<br><br>Altare dives, positioning his body to shield the child. The arrow bounces harmlessly off of his armor, but the initial impact still hurts.<br><br>Whatever pain he'd incurred doesn't matter right now; he looks at the child and asks, ""Are you okay?"" The child is crying, but he nods.",,,Jaesung,mayari marionette,Altare wearing knight armor and holding a sword in front of a fortress.
Uncommon,Uncommon_miiversian_AltareTheScholar.jpg,016,"Altare, The Scholar",Noble,600,AU,Attack,Grand Library Master,AU 3,200,"If this attack is successful, search the deck for an item card. Reveal it and add it to your hand. <br><br>The scholar and Grand Library Master. A calm, cool man who deals with everything with logic and rationale.","If this attack is successful, search the deck for an item card. Reveal it and add it to your hand. <br><br>The scholar and Elysium Grand Library Master. He’s known as a calm and cool scholar. He deals with everything with logic and rationale, but sometimes you can hear his teeth grind when he calmly talks or argues with someone. There’s a rumor that he was a brave shiny adventurer in the past, but no one knows if it’s true or not.",Effect,"“Quiet, Please!”",AU 4,,Opponent is silenced until the end of their next turn. This effect is unpreventable. ,"One of the rules of the Elysium Grand Library is “Don’t make sound or activity that disturbs others,” and he always adheres to it. After calmly warning rulebreakers, you can sometimes hear him muttering to himself. ",,,miiversian,BanBan,"Altare, wearing fancy Victorian suit and half-moon glasses, is reading a book inside a library. There are stacks of books on top of the table behind him and three Altventurer slimes."
Uncommon,Uncommon_Solis_ALTARE.jpg,017,ALTARE!!!,Knight,600,AU,Attack,Super Duper Punch!,AU 4,300,"Altare rises up, and fires a punch that is so powerful, he needs to charge up for a turn before he uses the attack. After that, he unleashes the stored power, with some crazy good editing to boot. This attack also may inflict a one turn stun upon impact. ",Altare has harnessed the power of the Super Duper Punch! This also includes good editing software.,,,,,,,,,Solis,Kardboard,"Altare is in the middle of transforming into a masked-Hero, his left hand hangs in the air in front of his head after putting on his mask. Mecha-Dog Axel, Mecha-Fox Magni, and Mecha-Bat Vesper are flying on his right side."
Uncommon,Uncommon_BlueP_AnOfficersDuty.jpg,018,An Officer's Duty,Knight,600,AU,Effect,Protection Detail,AU 3,,"These assignments are a pain, but it’s your duty to protect your client, and you have no intention of failing. All incoming damage meant for an ally is redirected to you, and your slime partner absorbs 25% of it.","You’re rarely assigned to protective detail, and even rarer are occurrences of negative scenarios, yet somehow you knew this was going to be troublesome. With the feeling of sharp, painful shockwaves flooding through you as the bullet tears a hole in your partner’s jelly-like flesh and buries itself in your protective vest, you are inclined to believe you were correct. You chance a glance behind you, breathing a sigh of relief at the sight of your client huddled into a terrified ball but safe.",Effect,Hands Up,AU 2,,"Your opponent is breaking the law, and you have a duty to stop them in their tracks. Immobilizes an opponent for one turn.","Committing a felony in broad daylight? Your perpetrator is ballsy, but chasing them down gives you and your partner something to do. Despite the criminal’s best attempts to lose you, your partner’s elite tracking skills are astonishing. Soon, the criminal is handcuffed, face down on the ground.",,,Blue_P,Phe,"Altare stands in front of a forest in a police officer’s uniform. On his shoulder sits an Altventurer slime wearing his police officer hat, both looking at each other."
Uncommon,Uncommon_minjastars_AncestralHomeland.jpg,019,Ancestral Homeland,Initiate,100,AU,Attack,Homecoming,AU 1,030,"Altare invites his foe to have some tteokbokki and buldak with him. When this attack lands, flip a coin. If it lands on heads, this Talent also takes 10 damage. Altare struggles to maintain his composure. This isn't too spicy, he can take it!","Altare sniffles as he continues eating the tteokbokki and buldak. He has to be strong, he has to look like a good leader in front of his guild.<br><br>Vesper, meanwhile, is popping it in his mouth like it's candy. ""This stuff is really good. What part of Elysium did you say you were from?""<br><br>Altare fears that he'll scream in pain if he opens his mouth; he squeaks affirmatively instead.<br><br>Vesper frowns. ""Leader, are you okay?""<br><br>Another affirmative squeak.",,,,,,,,,minjastars,mayari marionette,Altare sits in front of a green forest wearing a blue modern men's hanbok. 
Uncommon,Uncommon_nes_BakersDozen.jpg,020,Baker's Dozen,Initiate,080,AU,Effect,Freshly Baked Bread,Friendship 1,,"You may play this card as an Asset. Attach this Asset to a Talent you control. While this Asset is in effect, you may use it to heal 10 HP a total of three times. After the third time, discard this card.","Altare takes a deep breath as he opens the oven. This batch smells really delicious! <br><br>A few slimes, magmites, axelotls, and vesties watch him eagerly as he lifts the bread out of the oven. <br><br>""It turned out so well, guys!"" he praises. ""Now, we have to wait for them to cool—""<br><br>Unfortunately, the axelotls and one vestie do not listen.",Attack,THEY'RE ALIVE!,Food 1,20,"The bread magmite leaps out of the oven and attaches itself to the opponent's face, burning them. Altare is very confused.","Altare freezes as he watches the bread magmite scuttle out of the kitchen. He glances over at the counter and realizes that somehow, some of Dezmond's potions were in the kitchen, and somehow, he had used them in the bread dough. He turns to the creatures in the kitchen and asks them not to tell.",,,nes,mayari marionette,Altare in an apron and oven mitts holds a tray of the HQ boys' mascots baked into various breads with a shocked expression. 
Uncommon,Uncommon_shanaqba1muru_TheBridalExperience.jpg,021,The Bridal Experience,Noble,250,AU,Effect,Sacred Oath,"AU 1, Game 1",,"After pledging your soul to Altare with the Oath of Allegiance–sorry, Oath of Love–you find yourself stronger but unable to resist the binding power of the Sacred Oath. Increases damage dealt by 25.","Altare looks deep into the eyes of his ’bride-to-be.’ He takes the signed Consent Form from the hand of the poor soul. Coaxing the other to repeat after him, Altare whispers words of Oath–though it is different from the one they expected.<br><br>Once he feels the Sacred Oath take effect and bind the poor soul to him, he smiles, “If you betray me, you’ll be the next sacrifice.” <br><br>And that’s why you should read the Terms & Conditions before signing anything, kids.",Attack,“We Love You Too!”,"UwU 1, Zatsu 1",20,Those bound by the Oath–now collectively called Cultares–are rallying to protect Altare. Their stampede deals 20 AoE damage.,"At first, they were supporting Altare due to the Oath. But now, the Cultares will protect him from anyone and anything who poses harm, be it physically, mentally, or emotionally.",,,shanaqba1muru (imuru),aprilmayjune,"Altare, wearing a white wedding suit and light armor, is holding a bouquet of flowers. In the bouquet there are altventurer slimes hiding."
Uncommon,Uncommon_Jackorein_CorruptedBeast.jpg,022,Corrupted Beast,Noble,550,AU,Attack,Former Hero,AU 2,450,"Altare's status as a hero should never be questioned... but this beast doesn't seem like him at all! His fearsome form is out of control! Unleash a powerful attack on a single target, but take half that target's max HP in damage.",,Effect,Corruption Spreads,Horror 2,,Fear freezes the opponent as Altare transforms! No attacks or new cards from the opponent are allowed for the next 2 turns.,,,,Jackorein,Orion Valiant,"A four-legged beast stands, mouth open and bearing its teeth. This beast is depicted wearing Altare's clothes and light armor with extra layers of more rigid armor."
Uncommon,Uncommon_Rurune_CoverGirlRegina.jpg,023,Cover Girl Regina,Noble,390,AU,Attack,Is That Regina Altare?!,"AU 2, UwU 1, Friendship 1",390,"Excuse me, did your opponent try to photobomb our gorgeous model? Regina is quite displeased by their audacity. Slap some sense into them and show them how it’s done! Say cheese!",,Effect,Pose!,UwU 1,,"Can’t you see the cameras flashing? Uh-oh, the light is blinding! If your opponent is a blue hero, reduce their attack by 100.",,,,Rurune,kkinos,Long haired Regina stands posing for the camera with several box lights behind her. She has a pink heart under her right eye and is wearing a trendy blue outfit.
Uncommon,Uncommon_UNi_ElysiumMerman.jpg,024,Elysium Merman,Initiate,400,AU,Attack,Lucky to See Me,AU 3,150,This card negates damage for one turn when placed in your playzone.<br><br>There’s a rumor about the mystic creature called a merman which lives in the Elysium ocean. He has long blue hair and his fin and scales are also shiny blue. It’s very rare to meet him.,"But if you are lucky, you can meet him sunbathing at the beach.",Attack,Charming Aura,AU 4,200,Opponent will get charmed for one turn. With a beautiful body and charming voice. Hard to resist!,"When this attack is successful, the opponent will get charmed for one turn.<br><br>This merman has a beautiful attractive body and charming voice. Anyone who sees him will get charmed easily. Hard to resist this charming merman!",,,UNi (NINE_UNI),BanBan,"Long haired Altare laying down on a beach, bare-chested with merman features. His merman scales shine in the warm sunlight."
Uncommon,Uncommon_Milloot_ElysiumShrineMaiden.jpg,025,Elysium Shrine Maiden,Noble,550,AU,Hidden Ability,Pure Heart,,,This card always has a pure heart no matter what.<br><br>Regina the Shrine Maiden practices mind purification. Her mind is purer and cleaner than anyone else in Elysium. Her duty is to protect the world's pure energy from taint. For the peace of the people in the world.,,Attack,Dispel Power,AU 3,200,Her spiritual powers can ward off evil and dispel the impurity in people’s hearts.,The power which Regina gained from cultivating for a long time is the power to ward off evil power and dispel the impurity in people's hearts. An important power that will help Elysium remain peaceful.,,,Milloot,BanBan,Regina wearing traditional shrine maiden garb with the skirt billowing in the wind. Cherry blossoms frame the traditional Japanese temple scenery.
Uncommon,Uncommon_Eevee_HisFlowerShop.jpg,026,His Flower Shop,Knight,220,AU,Attack,"Loves Me, Loves Me Not",UwU 2,040,"A familiar blue-haired boy smiles at the next customer, offering his favorite rose. Pluck, pluck, pluck. The petals never end. The opponent pricks their finger and takes 040 DMG.",,Effect,Unattainable Dream,"AU 1, UwU 2",,Inflict “heartache” unto the opponent.<br>Hey… Do you know the flower symbolism behind a blue rose? ,,,,Eevee,The Cooler Garfield,"Altare wearing a gray apron and a dark blue long-sleeved shirt, his right hand on his chest while the other hand is reaching out to 'you'. Variety of potted flowers decorate the shelf behind him and the table in front of him."
Uncommon,Uncommon_paopandan_ForcedFusion.jpg,027,Forced Fusion,Initiate,250,AU,Effect,Bloodlust,Game 2,,"There’s a million reasons why you shouldn’t pick up random cybernetic implants, but guess you can’t turn back time. When the card is online, Altare gains a lot of bloodlust, buffing the player’s deck, adding +200 damage to all character cards.   ","Though they say one man’s trash is another man’s treasure, this still isn’t a reason to just pick up several implants without consulting an actual expert. Or checking if there weren’t any dead souls inside the implants. But if they’ve already fused with each other, then surely he can sate the bloodlust for human bodies…right? At worst, at least that’s better than realizing you suddenly have a love for 3AM walks—wait, that’s much much worse.",Attack,Lightfall Horn,Horror 1,400,"You think the horns were just for show? No, they’re not. Light armor stabs also cause the bleeding effect, dealing 50 damage. ","The horns were not just for decor, but they could actually stab people. Altare had easily acclimated to the implants, but maybe there’s a few people out there who think “stabbing with light armor” is a bit too much for a pastime. ",,,paopandan,Nyx (CandorArchives),"The forms of Altare and Regis are overlapping each other in a forced fusion; the red of Regis and the blue of Altare trying to dominate each other. Regis Altare is holding a gun in each hand, aiming to the front."
Uncommon,Uncommon_Fluor_FreestyleAltare.jpg,028,Freestyle Altare,Knight,220,AU,Effect,Tempo Change,AU 4,,"When an opponent's asset effect activates, you can counter and change either the cost requirement (up to a maximum of ten) OR one element."," Y’all better watch out / Freestyle Altare’s on the mic now / Feel the fire, feel the shine, feel the flow / Now one- two- three- go.",Attack,Bar Spitting,"AU 1, UwU 1",80,Altare starts spitting bars so hot they deal fire damage.,"Freestyling your own rap mid-tournament is heavily discouraged, but there are no rules actually stopping you. ",,,Fluor (FluorescenceFuture),KageKitsuneofLight,"Altare, wearing a black jacket on top of a white hoodie, gray jeans, and orange sneakers, is holding a spray paint can on his left hand. The background is a gradient of yellow-orange, with graffiti of buildings and a splash of blue paint on top."
Uncommon,Uncommon_Bing_HerHighness.jpg,029,Her Highness,Noble,280,AU,Attack,Princess Carry,"AU 1, UwU 2",050,"Charm your opponent and force them to carry you in a game of your choice, taking any damage that was intended for you. They’ll also take malding damage from watching you go AFK (Away From Kingdom) while they do all the hard work. <i>Sucker.</i>","Princess Regina is cracked at all games—of course—but she needn’t dirty her hands with every one. Instead, she gets her loyal subjects, or disloyal enemies, to do the hard work for her. Nothing to mark a royal occasion quite like the sounds of malding in the evening.<br><br>Some speculate that this is an economic choice on the princess’ part. Since her coronation, salt has become the kingdom’s main export—outranking its other exports, TCG packs and dagger skins, by orders of magnitude.",Effect,”You’re my little princess!”,Friendship 2,,"If your opponent is taller than Altare, reduce their height to 6 inches. Works on most opponents.","Frustrated with people in her court looking down on her, Princess Regina ventured from her kingdom to seek a certain alchemist’s help in devising revenge. Out of their spiteful planning came this devious spell!<br><br>She’s still not quite sure why the alchemist had to test the spell on <i>her</i>, though.",,,Bing (meltedicecubes),Lime 52,"Princess Regina is wearing a long-sleeved blue dress with open chest, a blue lace choker, a necklace, earrings, and a crystal crown. She is holding out her left hand to 'you', with a ring on that hand's middle finger."
Uncommon,Uncommon_Lynnear_HisDemonicMajesty.jpg,030,His Demonic Majesty,Noble,850,AU,Effect,Submit to Him,AU 3,,"The masses have chosen to bow before him, and so shall you. Immobilizes all opposing characters, preventing them from taking any action.","Resistance is futile, his presence alone forcing you to your knees. From your position on the dark marble floor, you chance a glance up at him. His face is terrifyingly blank, showing no sign of emotion. Despite your desire to ignore it and brush it aside, dread washes over you at the mere sight, and you know your chances of escape are minimal.",Attack,Beneath Your Boot,AU 2,200,"First you make them submit, then you crush them beneath the heel of your boot. Deals 200 points of blunt damage.","Seeing them submit to you just isn’t enough. You need to feel them tremble, quiver in fear beneath the sole of your boot. You chase the exhilaration, forcing the laughter bubbling up inside of you back into the dark recesses and conceal the grin threatening to shatter your poker face.",,,Lynnear,Phe,"His Majesty Regis is sitting on his throne, looking leisurely at you. His legs are crossed and his right hand is sat on top of the armrest."
Uncommon,Uncommon_takoyoaki_HouseHusbandAltare.jpg,031,House Husband Altare,Knight,600,AU,Attack,The Way of the Leader,"AU 2, Zatsu 1",330,"Cleaning, cooking, collecting your altventurers. These daily activities require a special skill set that has given you great strength. Use it wisely.",,Effect,A Clean Boy,"Friendship 1, Zatsu 1",200,"Sweep the battlefield, causing continuous damage. The damage points will equal 1% of the sum of your opponent's cards’ HP.",,,,takoyoaki (Aki),kkinos,"Altare, wearing a white cooking apron with blue heart patterns on top of a blue hoodie and black pants, is holding out a plastic bag full of Altventurer slimes. One of his eyes is closed in a wink, while the other eye has a heart in it."
